timestamp	step	training_time
1636724078088	0	29.231925010681152
1636724134668	1	85.81202721595764
1636724348395	2	30.097931146621704
1636724405972	3	87.68025517463684
1636724462241	4	143.94700527191162
1636724518491	5	200.19768810272217
1636724574930	6	256.6350619792938
